investment_id,customer_id,investment_type,purchase_price,current_market_value,investment_date
af345a55-3073-4e32-a696-256b8e0a3266,1419c4cc-5baa-48d6-a6ab-5e70a6d29232,Bonds,20742.17,60693.12,2023-01-14 05:34:33.330764
86b37c1e-9009-4160-b7b7-ac1d77fb9403,8a811ddf-e393-4dbf-9b66-dd2de19c457f,Stocks,8429.07,27787.88,2020-06-03 05:55:26.628621
bb49880f-ce2d-4575-9922-5863c1d9bc8f,50702029-bfdf-4616-a428-7002c4098bb8,Mutual Funds,96765.89,197665.74,2022-04-23 16:29:30.551250
18f7d4e7-1e98-4004-9759-33523cd16eff,8ab8d586-6187-4e22-bc7f-9879e612f4f6,Stocks,17082.49,54102.48,2024-03-19 20:11:21.294025
7e51eec0-15dc-47c7-a663-8b4d71a84316,73e98614-d903-4cac-8e3c-f8d25f2917d5,Stocks,88978.59,73103.37,2021-05-14 13:17:19.394982
e13ea85a-db4f-422f-bdc8-8afbf5fe5875,4dcdca7a-1f38-470d-b167-a920de2bf8a3,Bonds,3007.14,149205.64,2024-02-08 22:31:43.103860
51a636cf-4a40-406d-9da3-7d1559ba6185,53f07b9c-7927-424e-8174-22ad06f5b8cd,Stocks,33581.88,93012.49,2022-05-14 19:45:12.130967
7aef217c-edbf-4e57-93b5-774dfeb254af,e779c874-2e4d-49b6-aa7e-fc84096e8213,Stocks,25198.62,25197.62,2023-01-15 17:04:09.676977
57b16273-a3f1-4860-b058-15c7d2ffcd18,3153895c-467d-41fa-b968-1b9c24298336,Stocks,14973.98,46406.72,2021-08-21 09:10:35.914378
5b11a1ed-6de1-4457-9401-9a5377e10760,cb8f20a1-9eba-4051-984d-7addadd8e4d4,Bonds,36831.64,93531.01,2022-10-28 16:48:29.048246
1bb86a78-f220-40de-8054-076090a1acc8,fe2cf4e5-b324-4d54-bce5-f97d6db2a693,Bonds,65617.61,177085.13,2020-06-04 02:27:29.867793
743bd124-1487-4262-9f9d-5341c82cf1ab,342ae911-a4ad-4a52-8a37-8e2c2e451b8b,Mutual Funds,84780.64,116389.44,2021-01-27 19:13:21.075944
75730da9-7316-4e08-8b5d-b48441cf441f,704c017a-a3b1-4ab0-8982-1300e886c23d,Real Estate,17702.31,178690.09,2023-06-24 07:08:48.872127
5f063a95-95ba-4bd7-9688-aa96ed087985,add9f58c-8799-4785-b93a-fae3d3897dd2,Real Estate,48107.95,175296.1,2023-12-11 06:54:28.640379
41320e10-c932-498f-9674-e0f94ddecfef,809542e0-56ee-4bca-98bb-5da3cdb7ea5a,Real Estate,93461.0,13092.28,2020-10-06 10:32:52.641837
dfe3e0ff-e89d-4111-ab93-988c569c2c22,c7630dfd-c614-41c1-9d11-848866a71538,Mutual Funds,6485.21,130753.93,2022-02-27 04:21:58.848249
35e1a2f6-dbd6-4072-9aed-594e56ea6907,c9e20807-d603-460b-b1e7-dc8dde2c573b,Real Estate,98080.86,63403.03,2020-05-04 07:48:47.534648
effc092b-a4ea-4ac9-9a4e-a12697ba3e17,d3da2d94-6bfb-4658-88a8-02f88f8fe6df,Bonds,64312.06,101228.4,2024-08-23 04:43:26.080255
11d5a46e-b0ac-4956-825b-de21b2e4e94e,ff1044a2-55d1-4d56-9b74-235584790e6c,Bonds,30207.8,190747.24,2022-04-14 05:50:19.952458
b23dffb2-bf72-4964-b763-eb000dc01a77,0f8a8677-7f05-4564-acb2-6ffdc26914f0,Stocks,24880.01,24879.01,2021-12-04 03:39:55.694582
ac08157f-267f-4b1c-ba57-450cdb9e8dfe,ea226918-57c8-4843-b443-2d80f3ea4b20,Bonds,15182.72,36690.77,2020-09-16 08:01:05.331093
42f55b2f-c701-4e1d-97f7-d5c2254ba3d4,6ad5c72b-44d7-4ccb-951f-ca392b4420c2,Real Estate,60880.99,101974.81,2021-05-03 21:24:33.075492
3faf0711-126f-45a8-a241-e79e29008821,8a811ddf-e393-4dbf-9b66-dd2de19c457f,Mutual Funds,5938.52,159316.29,2020-01-13 09:19:02.090354
649a8d3c-1af8-46d2-9185-4d52269afa91,d75597bf-a44d-4eb5-9c07-95e89a506dc3,Mutual Funds,15352.94,126001.93,2020-09-01 22:09:45.772127
65234e48-d6ac-41ee-8b01-2efdbbed603c,4c725b34-c453-4b32-9212-72a73d24bba7,Mutual Funds,93040.41,175477.74,2023-07-31 17:47:39.569652
c5b79b78-d85e-4621-8e6b-058f6f777675,3071ac2c-4dea-480b-9dec-43bbc30b8d63,Mutual Funds,72735.07,115697.88,2020-07-11 02:21:33.972651
72459b8b-59a5-4b40-a056-8408465cbf5d,6493a545-c488-4aea-8065-065e6a3cb2dd,Mutual Funds,73281.51,105286.65,2022-08-10 18:00:23.061521
