account_id,customer_id,account_type,account_balance,account_open_date,account_status
0bdc8dc0-3480-4b4e-a3c0-fbb40dd75a01,cdaacf48-377c-4a0c-afae-e7ba44e499d3,Savings,24844.08,2020-12-08 17:49:57.222140,Inactive
67e96f55-fe12-4687-b98c-92bfd10d6fe9,38b4ee22-fe29-4bea-ba33-3b2ec86c814b,Loan,20950.03,2024-06-16 22:27:06.046919,Closed
4c3592f1-a9f0-411b-9c82-d934e943e80c,ff232bde-69eb-45fb-bcf1-3184bbd0e6ad,Checking,16912.66,2022-10-23 16:05:45.499488,Inactive
d8850858-aa16-47e5-97f9-0112885b3ded,33d6b438-665e-4ddb-a893-a29ae5dbe8ae,Credit,30584.79,2022-09-06 16:38:37.266738,Active
eb5c1594-c0d9-4d0a-870c-948954f60855,2896c78f-9375-4a22-9598-9cda3c474a0b,Loan,32794.33,2020-07-02 21:39:12.020519,Active
779c7701-182b-45df-b5cf-a3d0cee9f2e4,52e58f47-b677-426a-b14d-2e7a0a9de294,Credit,72733.67,2020-02-06 00:51:59.486845,Active
538fde44-70fd-418c-a356-bea2e6d03585,cf8dd9f0-2c70-4014-b03b-edb82122bf62,Loan,-9592.5,2020-04-30 06:22:50.486006,Closed
d1309a58-9985-4483-adcb-71192b641d69,094baf51-3081-415b-a97e-f253befaabb1,Loan,87175.62,2020-04-09 08:53:21.467165,Closed
08925e5d-d980-48f3-a5b9-1591e820e825,6c224675-2b3b-4cfd-ae01-e7b31cc4b328,Savings,36728.8,2021-03-09 18:48:20.880712,Active
a3a8aabf-9332-4f25-9d4d-88cf4edfab72,b41b938a-f376-408b-af4a-dce1bf97e7a5,Loan,52105.53,2024-01-05 10:25:45.486297,Closed
9257193e-d3ef-4b20-a591-0628f1f4add9,e0b76e2b-a2da-43cf-9398-1f764fe94053,Savings,60913.62,2021-07-03 19:56:29.423836,Inactive
0a89fbb4-2fc0-433e-b2ba-3e8a722691b7,d88c5742-06cb-40b5-88d8-b1923e2dd81c,Checking,59950.51,2020-04-28 20:56:52.098123,Active
8b47fc38-92e0-40e7-b25c-1faf67d75279,5de2f8f9-f4a0-4824-9450-f0484734ce0d,Credit,2232.46,2020-01-02 12:14:27.994049,Inactive
e8d99438-e1ec-4b01-95c1-0db9057a6e78,066b4f99-4adb-452e-8451-b72cbf0ac4ae,Savings,23423.07,2023-03-20 18:55:50.868145,Active
a30510a3-15cc-44c5-894f-8d15a4af93aa,9c7382eb-954d-4ec9-8723-1f0b3714f083,Credit,94342.61,2023-03-14 23:40:38.643162,Active
c3e79c05-e125-48a9-a325-98d267b3a5c8,3153895c-467d-41fa-b968-1b9c24298336,Checking,26165.26,2021-09-09 10:40:42.657136,Active
18d19dde-869f-4a0a-a7d3-22b575647bd1,eb99fa41-6f2b-4d3b-bdcc-9b8174fdba11,Savings,33317.51,2020-06-09 18:26:12.607679,Closed
000d90c3-b767-4bca-9609-dbc8df782996,0a13d43d-278e-4c39-ab90-f5f61feacee5,Credit,55223.14,2020-07-16 11:39:42.913231,Closed
4df6c7e0-dd20-4f82-a32e-02901a7301fe,a19315bf-2c00-46ed-ae6e-fe0b3255fd6b,Checking,1389.9,2021-08-30 01:55:32.877765,Closed
2b4bd8ee-8d4e-4e9e-be76-b16b73996c1f,8a5d6e6b-b701-48ce-9004-3488c52aaf2c,Checking,54539.3,2023-09-05 15:33:50.375998,Closed
72822e2f-9b44-4621-b2b4-6d660750414c,dd9addd7-4e9d-4a8b-9e33-361e4b8a7b31,Checking,80114.55,2020-11-19 04:32:47.318542,Active
d0d865a2-f1a8-4320-bf3c-a6244e31402d,595a5347-c02e-49ab-b529-7c25fbf277c0,Credit,30906.83,2021-02-27 05:56:26.844090,Closed
b63cb1cc-cc95-4bc2-9733-0ab5def4bcbe,277b5ec1-391e-414a-afd8-ccfa09981937,Savings,81318.46,2023-05-28 01:41:37.197199,Closed
