payment_id,order_id,payment_date,amount,payment_method,currency,status,customer_id,transaction_id
887f9595-b9d9-4ef6-aa61-0767b1cf0219,a9390467-ec89-40e5-8667-d9b2cba0a858,2024-03-05 16:40:17.089699,887.72,Debit Card,LYD,Completed,5f0aca91-6c30-4ac7-a84d-d48167d2e144,b5bceeb3-8fb4-4f35-a04e-726dfcd6239d
64dabbc5-3e52-4905-9c07-6f2aa0fcd924,b059fbc1-d99d-4f76-80e1-d01a766fe351,2024-07-16 11:17:45.645728,2728.63,Cash,BYR,Failed,c077cc55-d929-4805-b414-3a5928933666,d1bc5617-64d7-40ea-9b76-e4b3bd711645
fb5e761a-4da3-4327-add4-71940d3fd126,23969f19-c4e5-4899-8e7e-e58dc536731c,2024-06-28 22:35:36.453584,660.93,Cash,HKD,Completed,f8b81790-100e-4df1-a0ce-df284765415d,1995a7c8-2271-460d-bde0-b7b55d009d01
0d01fa54-5d49-4b6e-b7b9-f0ec0a1acb82,2f37b40c-40d1-4123-aff3-9defbc60bf7e,2024-01-05 08:28:28.621355,1200.65,Bank Transfer,BRL,Completed,c033333a-0a01-47fc-b023-46670eab2630,f2c31e38-ab46-44d0-ac4c-3f4f04b1f6f4
00416a19-3cc5-4f3a-9b67-8cdb4a04a002,26dc35e0-1493-406c-bf52-da4c7812a36e,2024-01-12 14:54:36.084144,1634.0,Cash,TOP,Failed,199ab52e-11cb-4575-bc0d-3f6ab709d1f1,42585cb0-4d5a-4ccb-ad43-add392a63c40
f6b95f31-9753-48fa-890f-f08d05f01421,ad6b8b54-7cbe-4641-9d64-7c28529ebce8,2024-03-05 09:48:30.555057,4950.59,Cash,VND,Pending,8c4b6b86-e018-442f-93a0-59c4d7b5f37f,9a59e630-95f1-4a32-85bb-5250d69f7410
8e110e70-a589-4700-9770-62792bb468ca,639b1846-da6e-4f13-b06f-2fcd1daf7402,2024-02-08 21:47:17.751359,9149.93,Debit Card,HRK,Failed,c9df8411-09cc-451d-9e12-f879e37fe601,d8dcfb35-6137-4290-b318-fa527edc09ed
8d0ac60b-4149-47d3-886b-05f93d480681,663a210a-951a-4731-af35-dad00d326c7a,2024-05-15 15:25:49.725223,9962.1,Cash,BDT,Failed,38f7a88b-f160-4960-a577-90925c632131,c784ea38-1e3c-4762-9b18-d153c5c68f03
6a1d6a22-d53b-4fa4-8f3e-e7e38be254d5,e33a0476-126e-40c6-9efa-f26664bf504b,2024-04-02 20:35:58.697930,7967.1,Credit Card,UAH,Failed,1ea908a9-fb95-4fb7-a152-2185556fcedd,a8c2e9f9-c38c-4b19-9ed8-ec9d4f78032d
8c4953c9-b586-4ce3-8a77-64c901958e6b,cb827715-c848-4b5c-a050-697c1b9f2b02,2024-03-08 17:48:12.664639,8851.93,Bank Transfer,BAM,Failed,7d8fdcd1-255c-4661-bb37-a21e96fea415,2f877397-55e8-4428-afab-8a99f6aec848
f6e4b4a5-7b3e-474b-836f-af8c24ae1381,57bc3312-a0f7-4df5-90e3-2dede58c2931,2024-02-08 11:53:57.795544,2912.14,Debit Card,JMD,Failed,2ee30108-a400-4bd7-b166-b828064705c2,859026ed-54b1-4936-9e75-f66fee7e6b31
722b86ce-a485-4623-8b71-347623fa54db,ccaf645d-427c-41a0-a833-1409d10478b7,2024-02-16 17:13:57.830361,6181.29,Debit Card,ANG,Pending,d52835c9-a2ba-4e75-b23c-1b2b9f0f1c60,34b29979-27d7-4aba-b3c6-af3a9c65b5ca
d1ec9fc1-798c-4192-a957-b01c26cc6675,60b1cf33-6daf-451c-a6be-9d8c6192aae5,2024-01-08 13:58:31.170696,8702.81,Bank Transfer,ALL,Completed,f3140289-99c0-4578-95cc-c8144cea4d03,c03a6205-2454-4ce2-a46c-98a0f6be11bd
e6cfb24d-36c1-448c-a5c2-94fadf4865e2,f6ce0a8f-acc8-4dc8-8bc4-3a556d15303e,2024-01-16 17:06:34.546822,8393.31,Cash,XOF,Failed,8cafeee6-8324-4eea-84a1-224f8148f25a,11cfb5d3-34d6-487d-b48f-01db8a6ffbd1
be5138d8-45d6-44de-a88e-7c1116e70933,5a8f1f47-1a17-4979-93b2-0e358e600bd1,2024-07-29 09:24:01.675287,1743.24,Debit Card,LAK,Failed,bc5d5db2-0c6f-4e89-992e-9c25a2b49e62,cade12ae-9310-4a13-89e6-06e4804fd28d
